Year,State,Candidate,Party,Candidate Votes,Total Votes,Description,GDP
2016,IDAHO,"TRUMP, DONALD J.",REPUBLICAN,409055,690255,All industry total ,69185.2
2016,ILLINOIS,"CLINTON, HILLARY",DEMOCRAT,3090729,5536424,All industry total ,813561.6
2016,INDIANA,"TRUMP, DONALD J.",REPUBLICAN,1557286,2734958,All industry total ,342716.6
2016,IOWA,"TRUMP, DONALD J.",REPUBLICAN,800983,1565580,All industry total ,183834.8
2016,KANSAS,"TRUMP, DONALD J.",REPUBLICAN,671018,1184402,All industry total ,162144.5
2016,KENTUCKY,"TRUMP, DONALD J.",REPUBLICAN,1202971,1924149,All industry total ,197944.8
2016,LOUISIANA,"TRUMP, DONALD J.",REPUBLICAN,1178638,2029032,All industry total ,227440.3
2016,MAINE,"CLINTON, HILLARY",DEMOCRAT,357735,771892,All industry total ,61092.2
2016,MARYLAND,"CLINTON, HILLARY",DEMOCRAT,1677928,2781446,All industry total ,386496.4
2016,MASSACHUSETTS,"CLINTON, HILLARY",DEMOCRAT,1995196,3378821,All industry total ,514108.0
2016,MICHIGAN,"TRUMP, DONALD J.",REPUBLICAN,2279543,4799284,All industry total ,494752.5
2016,MINNESOTA,"CLINTON, HILLARY",DEMOCRAT,1367705,2944782,All industry total ,345248.8
2016,MISSISSIPPI,"TRUMP, DONALD J.",REPUBLICAN,700714,1209357,All industry total ,107795.4
2016,MISSOURI,"TRUMP, DONALD J.",REPUBLICAN,1594511,2808605,All industry total ,304143.3
2016,MONTANA,"TRUMP, DONALD J.",REPUBLICAN,279240,494526,All industry total ,45859.4
2016,NEBRASKA,"TRUMP, DONALD J.",REPUBLICAN,495961,844227,All industry total ,119389.8
2016,NEVADA,"CLINTON, HILLARY",DEMOCRAT,539260,1125385,All industry total ,153318.0
2016,NEW HAMPSHIRE,"CLINTON, HILLARY",DEMOCRAT,348526,744296,All industry total ,79759.7
2016,NEW JERSEY,"CLINTON, HILLARY",DEMOCRAT,2148278,3874046,All industry total ,578651.4
2016,NEW MEXICO,"CLINTON, HILLARY",DEMOCRAT,385234,798319,All industry total ,90476.0
2016,NEW YORK,"CLINTON, HILLARY",DEMOCRAT,4379789,7802084,All industry total ,1556830.0
2016,NORTH CAROLINA,"TRUMP, DONALD J.",REPUBLICAN,2362631,4741564,All industry total ,528284.3
2016,NORTH DAKOTA,"TRUMP, DONALD J.",REPUBLICAN,216794,344360,All industry total ,52666.3
2016,OHIO,"TRUMP, DONALD J.",REPUBLICAN,2841005,5496487,All industry total ,627294.7
2016,OKLAHOMA,"TRUMP, DONALD J.",REPUBLICAN,949136,1452992,All industry total ,182238.8
2016,OREGON,"CLINTON, HILLARY",DEMOCRAT,1002106,2001336,All industry total ,211782.4
2016,PENNSYLVANIA,"TRUMP, DONALD J.",REPUBLICAN,2970733,6115402,All industry total ,733165.9
2016,RHODE ISLAND,"CLINTON, HILLARY",DEMOCRAT,252525,464144,All industry total ,57714.6
2016,SOUTH CAROLINA,"TRUMP, DONALD J.",REPUBLICAN,1155389,2103027,All industry total ,217555.5
2016,SOUTH DAKOTA,"TRUMP, DONALD J.",REPUBLICAN,227721,370093,All industry total ,49842.6
2016,TENNESSEE,"TRUMP, DONALD J.",REPUBLICAN,1522925,2508027,All industry total ,339350.2
2016,TEXAS,"TRUMP, DONALD J.",REPUBLICAN,4685047,8969226,All industry total ,1582981.5
2016,UTAH,"TRUMP, DONALD J.",REPUBLICAN,515211,1131317,All industry total ,159330.6
2016,VERMONT,"CLINTON, HILLARY",DEMOCRAT,178573,320467,All industry total ,31840.2
2016,VIRGINIA,"CLINTON, HILLARY",DEMOCRAT,1981473,3982752,All industry total ,499032.4
2016,WASHINGTON,"CLINTON, HILLARY",DEMOCRAT,1742718,3317019,All industry total ,489790.2
2016,WEST VIRGINIA,"TRUMP, DONALD J.",REPUBLICAN,489371,713051,All industry total ,71248.9
2016,WISCONSIN,"TRUMP, DONALD J.",REPUBLICAN,1405284,2976150,All industry total ,315420.0
2016,WYOMING,"TRUMP, DONALD J.",REPUBLICAN,174419,258788,All industry total ,36105.9
2020,ALABAMA,"TRUMP, DONALD J.",REPUBLICAN,1441170,2323282,All industry total ,235325.3
2020,ALASKA,"TRUMP, DONALD J.",REPUBLICAN,189951,359530,All industry total ,51283.4
2020,ARIZONA,"BIDEN, JOSEPH R. JR",DEMOCRAT,1672143,3387326,All industry total ,388956.7
2020,ARKANSAS,"TRUMP, DONALD J.",REPUBLICAN,760647,1219069,All industry total ,136198.4
2020,CALIFORNIA,"BIDEN, JOSEPH R. JR",DEMOCRAT,11110250,17500881,All industry total ,3076755.1
2020,COLORADO,"BIDEN, JOSEPH R. JR",DEMOCRAT,1804352,3279980,All industry total ,396741.9
2020,CONNECTICUT,"BIDEN, JOSEPH R. JR",DEMOCRAT,1080831,1823857,All industry total ,278029.4
2020,DELAWARE,"BIDEN, JOSEPH R. JR",DEMOCRAT,296268,504346,All industry total ,77520.3
2020,DISTRICT OF COLUMBIA,"BIDEN, JOSEPH R. JR",DEMOCRAT,317323,344356,All industry total ,146660.1
2020,FLORIDA,"TRUMP, DONALD J.",REPUBLICAN,5668731,11067456,All industry total ,1142004.4
2020,GEORGIA,"BIDEN, JOSEPH R. JR",DEMOCRAT,2473633,4999960,All industry total ,640223.6
2020,HAWAII,"BIDEN, JOSEPH R. JR",DEMOCRAT,366130,579784,All industry total ,84885.8
2020,IDAHO,"TRUMP, DONALD J.",REPUBLICAN,554119,868014,All industry total ,88099.3
